"Id";"Filename";"LineNumber";"Player";"Transcription";"Classification"
"0";"cr1-52-transcript-corpus.csv";"1616";"ASHLEY";"Okay, and I'm going to use Guided Strike?";"0"
"1";"cr1-91-transcript-corpus.csv";"682";"TALIESIN";"-- Pike is another concern.";"1"
"2";"cr1-85-transcript-corpus.csv";"1843";"LAURA";"Well, I mean, we're outside.";"1"
"3";"cr1-90-transcript-corpus.csv";"1992";"LAURA";"Fabulous.";"1"
"4";"cr1-42-transcript-corpus.csv";"3288";"LIAM";"Is this a whisper?";"0"
"5";"cr1-50-transcript-corpus.csv";"1810";"ASHLEY";"They left him in a very horrible state and I would not like to see that again.";"1"
"6";"cr1-6-transcript-corpus.csv";"2696";"MARISHA";"Let him do it by himself.";"0"
"7";"cr1-43.01-transcript-corpus.csv";"1450";"MARISHA";"Fuck you, Seal.";"0"
"8";"cr1-1-transcript-corpus.csv";"97";"LIAM";"Raised by their mother in their early years, the twins were eventually sent off to their father in the elven capital of Syngorn.";"1"
"9";"cr1-82-transcript-corpus.csv";"1440";"MARISHA";"This one isn't for you.";"1"
"10";"cr1-14-transcript-corpus.csv";"1197";"URIEL";"We do not have the mental will nor the ability to withstand any sort of assault either from the inside or the outside of the city.";"1"
"11";"cr1-25-transcript-corpus.csv";"928";"LAURA";"Okay, then I'm going to attack her through my Blazing Bowstring.";"1"
"12";"cr1-98-transcript-corpus.csv";"1315";"SAM";"All right.";"1"
"13";"cr1-61-transcript-corpus.csv";"995";"LIAM";"Grog was unconscious.";"0"
"14";"cr1-115.02-transcript-corpus.csv";"1520";"TALIESIN";"A boon.";"1"
"15";"cr1-11-transcript-corpus.csv";"2154";"LAURA";"The beholder will just take control of the giant.";"1"
"16";"cr1-51-transcript-corpus.csv";"1002";"GROG";"You all right down there?";"1"
"17";"cr1-74.01-transcript-corpus.csv";"1226";"BRIAN";"That is from Rob Green.";"0"
"18";"cr1-102-transcript-corpus.csv";"2371";"SAM";"Matthew Mercer, may I borrow your Monster Manual so I know what I am?";"0"
"19";"cr1-45.01-transcript-corpus.csv";"1472";"MARISHA";"But that one's peacing out?";"0"
"20";"cr1-115-transcript-corpus.csv";"117";"TRAVIS";"It really covers the whole kit and kaboodle!";"1"
"21";"cr1-79-transcript-corpus.csv";"628";"TRAVIS";"Yeah, can we go ahead and see how we do here, and I will go Reckless Attack, Great Weapon Master.";"1"
"22";"cr1-92-transcript-corpus.csv";"576";"TRAVIS";"How is that a pun?";"1"
"23";"cr1-103-transcript-corpus.csv";"814";"MARISHA";"That's the saddest thing.";"0"
"24";"cr1-83-transcript-corpus.csv";"5110";"LAURA";"It's not worth harboring this hatred in your heart.";"1"
"25";"cr1-75-transcript-corpus.csv";"441";"MARISHA";"And your business mainly deals in--";"1"
"26";"cr1-73-transcript-corpus.csv";"2059";"SAM";"Oh god, why?";"0"
"27";"cr1-106-transcript-corpus.csv";"2211";"LIAM";"We need to power trammels.";"1"
"28";"cr1-108-transcript-corpus.csv";"2406";"LIAM";"Oh, wow.";"0"
"29";"cr1-23-transcript-corpus.csv";"2295";"ORION";"(slurred) Scanlan has been ordering me water for the whole time has been cleared.";"1"
"30";"cr1-89-transcript-corpus.csv";"10";"TRAVIS";"Do y'all hear that heartbeat in your ears?";"1"
"31";"cr1-98-transcript-corpus.csv";"3913";"MARISHA";"I think 60, earthglide?";"0"
"32";"cr1-2-transcript-corpus.csv";"1150";"MARISHA";"Oh, disadvantage.";"0"
"33";"cr1-78-transcript-corpus.csv";"1854";"TALIESIN";"I swear if you're aerating wine under there I'm going to be so upset.";"1"
"34";"cr1-107-transcript-corpus.csv";"1030";"TRAVIS";"We haven't even left the dock yet.";"1"
"35";"cr1-68-transcript-corpus.csv";"3734";"TRAVIS";"Oh yeah.";"0"
"36";"cr1-115.09-transcript-corpus.csv";"5031";"MARISHA";"3d8.";"0"
"37";"cr1-31.01-transcript-corpus.csv";"496";"TALIESIN";"They knew we were coming.";"1"
"38";"cr1-115.05-transcript-corpus.csv";"3696";"LAURA";"It's an auto-crit?";"0"
"39";"cr1-62-transcript-corpus.csv";"444";"SAM";"I'm going.";"0"
"40";"cr1-115.08-transcript-corpus.csv";"976";"TALIESIN";"It's going to be an action to open that chest, isn't it?";"0"
"41";"cr1-115.02-transcript-corpus.csv";"3849";"TALIESIN";"And thank you for everybody who's watched this evening.";"0"
"42";"cr1-29-transcript-corpus.csv";"1565";"MARISHA";"Perception check?";"0"
"43";"cr1-110-transcript-corpus.csv";"344";"LAURA";"While she's doing a nature check, I want to do Primeval Awareness and sense undead in the area.";"1"
"44";"cr1-57-transcript-corpus.csv";"3504";"TALIESIN";"Best to be nameless, at this point.";"1"
"45";"cr1-82-transcript-corpus.csv";"3842";"LAURA";"God.";"1"
"46";"cr1-19-transcript-corpus.csv";"2190";"FELICIA";"I want to move over there behind that-- over here.";"1"
"47";"cr1-98-transcript-corpus.csv";"1096";"SAM";"Oh the other drink?";"1"
"48";"cr1-115.02-transcript-corpus.csv";"685";"LAURA";"You can't swim at the beach and stuff.";"1"
"49";"cr1-38-transcript-corpus.csv";"2158";"LIAM";"So it knew where we were and we fled.";"1"
"50";"cr1-93-transcript-corpus.csv";"2699";"NOELLE";"I think so.";"1"
"51";"cr1-115.08-transcript-corpus.csv";"196";"TALIESIN";"We get to pose before the battle right?";"1"
"52";"cr1-65-transcript-corpus.csv";"1933";"LIAM";"Percival said he already un-misted.";"1"
"53";"cr1-51-transcript-corpus.csv";"3125";"TALIESIN";"Goliath balls are blue.";"1"
"54";"cr1-37-transcript-corpus.csv";"3451";"LIAM";"I take the keys.";"1"
"55";"cr1-38-transcript-corpus.csv";"1089";"LAURA";"Oh my gosh, Gilmore!";"1"
"56";"cr1-15-transcript-corpus.csv";"2858";"LAURA";"26!";"0"
"57";"cr1-115.02-transcript-corpus.csv";"3252";"TALIESIN";"You've got a different vibe going on.";"1"
"58";"cr1-7-transcript-corpus.csv";"3371";"LIAM";"I'm hasted.";"0"
"59";"cr1-74.01-transcript-corpus.csv";"1097";"MARISHA";"Hi.";"0"
"60";"cr1-41-transcript-corpus.csv";"222";"MARISHA";"It depends on who knows!";"1"
"61";"cr1-15-transcript-corpus.csv";"4049";"ORION";"Eight?";"0"
"62";"cr1-52-transcript-corpus.csv";"2619";"LIAM";"Beers for everybody.";"1"
"63";"cr1-70-transcript-corpus.csv";"1126";"SAM";"We need to know the beast that we are summoning.";"1"
"64";"cr1-20-transcript-corpus.csv";"785";"WILL";"If you're in the bazaar, do I have to be out of the city to cast Locate Creature?";"0"
"65";"cr1-107-transcript-corpus.csv";"1634";"TRAVIS";"Oh, 26.";"0"
"66";"cr1-114-transcript-corpus.csv";"247";"LIAM";"(laughter)";"0"
"67";"cr1-65-transcript-corpus.csv";"1503";"TALIESIN";"This is a bit awkward.";"1"
"68";"cr1-104-transcript-corpus.csv";"1438";"TRAVIS";"Did you ask about the fruit?";"1"
"69";"cr1-31-transcript-corpus.csv";"1110";"SAM";"(laughs)";"1"
"70";"cr1-31-transcript-corpus.csv";"76";"LIAM";"I'm on three, so I think it's two on Friday and one on Saturday.";"0"
"71";"cr1-115.02-transcript-corpus.csv";"1671";"LIAM";"Do it.";"1"
"72";"cr1-13-transcript-corpus.csv";"542";"MARISHA";"Wait, does this mean you can go and we'll distract?";"1"
"73";"cr1-14-transcript-corpus.csv";"1871";"GILMORE";"It's been far too long.";"1"
"74";"cr1-115.10-transcript-corpus.csv";"1108";"SAM";"Through the building or off the side?";"1"
"75";"cr1-77-transcript-corpus.csv";"4783";"MARISHA";"Allura.";"1"
"76";"cr1-9-transcript-corpus.csv";"2733";"MARISHA";"Weird.";"1"
"77";"cr1-58-transcript-corpus.csv";"761";"LIAM";"Is Scanlan like 10 feet away?";"0"
"78";"cr1-77-transcript-corpus.csv";"4412";"TALIESIN";"They will be useful.";"1"
"79";"cr1-32-transcript-corpus.csv";"1167";"TRAVIS";"Boss.";"1"
"80";"cr1-115.11-transcript-corpus.csv";"7289";"TALIESIN";"Yeah, it was.";"0"
"81";"cr1-98.02-transcript-corpus.csv";"489";"TALIESIN";"That's my first shot then.";"1"
"82";"cr1-113-transcript-corpus.csv";"3639";"LIAM";"Seven, so 11 and seven.";"0"
"83";"cr1-115.06-transcript-corpus.csv";"2449";"MARISHA";"Surprised that hadn't happened sooner.";"1"
"84";"cr1-57-transcript-corpus.csv";"435";"SAM";"Mertin.";"1"
"85";"cr1-84-transcript-corpus.csv";"1683";"LAURA";"You just wait.";"1"
"86";"cr1-93-transcript-corpus.csv";"1221";"LIAM";"Oh man, it's not great.";"0"
"87";"cr1-44-transcript-corpus.csv";"4486";"MARISHA";"That's what I want to do.";"1"
"88";"cr1-115.09-transcript-corpus.csv";"1114";"TALIESIN";"I look forward to it.";"1"
"89";"cr1-115.04-transcript-corpus.csv";"2376";"TRAVIS";"Yep.";"0"
"90";"cr1-4-transcript-corpus.csv";"2450";"LIAM";"Pretty good overall.";"0"
"91";"cr1-35.01-transcript-corpus.csv";"764";"MARISHA";"I was just talking to the tree.";"1"
"92";"cr1-115-transcript-corpus.csv";"3665";"TRAVIS";"Yes.";"1"
"93";"cr1-74.01-transcript-corpus.csv";"1732";"CRITTER";"Nope, not good at all.";"0"
"94";"cr1-115.12-transcript-corpus.csv";"745";"LAURA";"Oh shit, that doesn't hit.";"0"
"95";"cr1-8-transcript-corpus.csv";"3416";"LAURA";"It was so good!";"0"
"96";"cr1-66-transcript-corpus.csv";"2217";"LAURA";"All right.";"1"
"97";"cr1-31-transcript-corpus.csv";"1616";"TRAVIS";"37.";"0"
"98";"cr1-100-transcript-corpus.csv";"4957";"LIAM";"And then the second one is four, plus the Smite, and I get four plus eight is 12, 15, 22.";"0"
"99";"cr1-44-transcript-corpus.csv";"1466";"LIAM";"Roc!";"1"
"100";"cr1-43-transcript-corpus.csv";"3468";"SAM";"And I will turn to Vax this time and inspire him, and I will say, (singing) Kill that monk-y douchebag, white boy.";"1"
"101";"cr1-53-transcript-corpus.csv";"1908";"TRAVIS";"Hey!";"0"
"102";"cr1-73-transcript-corpus.csv";"761";"LIAM";"Can I come in to talk?";"1"
"103";"cr1-52-transcript-corpus.csv";"72";"TALIESIN";"It's going to be great.";"0"
"104";"cr1-14-transcript-corpus.csv";"819";"TIBERIUS";"No, the bag.";"1"
"105";"cr1-12-transcript-corpus.csv";"1477";"MARISHA";"It was very frosty, yeah.";"1"
"106";"cr1-88-transcript-corpus.csv";"7466";"TALIESIN";"Got to get a healing potion in that guy stat.";"1"
"107";"cr1-109-transcript-corpus.csv";"2106";"MARISHA";"Let's do this lucky one.";"0"
"108";"cr1-53-transcript-corpus.csv";"855";"ASHLEY";"I have my own room.";"1"
"109";"cr1-5-transcript-corpus.csv";"4491";"MARISHA";"30 feet?";"0"
"110";"cr1-43-transcript-corpus.csv";"3815";"SAM";"Not great, not great.";"0"
"111";"cr1-28-transcript-corpus.csv";"3864";"SAM";"So I can make everyone look a little different.";"1"
"112";"cr1-6-transcript-corpus.csv";"1969";"LIAM";"Do I have advantage?";"0"
"113";"cr1-95-transcript-corpus.csv";"998";"TALIESIN";"More working, honestly, but I'll get into that later.";"1"
"114";"cr1-114-transcript-corpus.csv";"1261";"TALIESIN";"1d10.";"0"
"115";"cr1-13-transcript-corpus.csv";"3237";"TRAVIS";"I shake it a lot.";"1"
"116";"cr1-107-transcript-corpus.csv";"2987";"SAM";"I don't know.";"0"
"117";"cr1-41-transcript-corpus.csv";"1301";"SAM";"Which one is Jason Charles Miller?";"1"
"118";"cr1-51-transcript-corpus.csv";"3100";"MARISHA";"Curse you technical difficulties.";"0"
"119";"cr1-115.07-transcript-corpus.csv";"1198";"H MICHAEL";"And to be out of the cannon blast, I'll move two--";"1"
"120";"cr1-19-transcript-corpus.csv";"3730";"FELICIA";"I want to be helpful.";"1"
"121";"cr1-62-transcript-corpus.csv";"279";"LAURA";"Shit, balls, mother-- that's bad: nine.";"0"
"122";"cr1-8-transcript-corpus.csv";"3574";"MARISHA";"CheeseBug!";"0"
"123";"cr1-31-transcript-corpus.csv";"2450";"TRAVIS";"What am I going to do to gas?";"1"
"124";"cr1-106-transcript-corpus.csv";"1165";"SAM";"They put the darts on the back of the bull to soften it up and (whoosh) killing blow!";"1"
"125";"cr1-37-transcript-corpus.csv";"2004";"SAM";"Absolutely.";"1"
"126";"cr1-92-transcript-corpus.csv";"497";"TRAVIS";"I took this ring off of his finger, forever ago.";"1"
"127";"cr1-8-transcript-corpus.csv";"1242";"LAURA";"Can we keep to the edge and try to not disturb the rock as much as possible.";"1"
"128";"cr1-52-transcript-corpus.csv";"507";"LIAM";"Okay.";"0"
"129";"cr1-81-transcript-corpus.csv";"1325";"SAM";"Why more pages?";"0"
"130";"cr1-112-transcript-corpus.csv";"2219";"MARISHA";"But maybe that etherealness thing, and now I can literally come up and drag you down.";"1"
"131";"cr1-33.01-transcript-corpus.csv";"1442";"LAURA";"Is this charm?";"0"
"132";"cr1-27-transcript-corpus.csv";"2509";"MARISHA";"Try it out, since I've learned and I've been studying and I've been doing my research.";"1"
"133";"cr1-57-transcript-corpus.csv";"3703";"MARISHA";"So these heart-stones embrace the essence of where they reside?";"1"
"134";"cr1-101-transcript-corpus.csv";"2204";"SAM";"It's been an honor to have your acquaintance, and I'm afraid I have to return, but perhaps we'll meet again sometime.";"1"
"135";"cr1-70-transcript-corpus.csv";"2073";"TALIESIN";"He spent some time around them, which is also why I thought it might be helpful.";"1"
"136";"cr1-57-transcript-corpus.csv";"2479";"TALIESIN";"I'm going to take a vial of the blood in the pool.";"1"
"137";"cr1-71-transcript-corpus.csv";"303";"LAURA";"What if you became a fly or something and flew down?";"1"
"138";"cr1-49-transcript-corpus.csv";"4062";"MARISHA";"22.";"0"
"139";"cr1-97-transcript-corpus.csv";"3968";"LAURA";"Hey!";"1"
"140";"cr1-57-transcript-corpus.csv";"4041";"TALIESIN";"Tell anyone you'd like where I went.";"1"
"141";"cr1-28-transcript-corpus.csv";"3567";"LIAM";"I throw five or six pine cones at his head.";"1"
"142";"cr1-115.06-transcript-corpus.csv";"3618";"MARISHA";"De Rolo Roller.";"1"
"143";"cr1-41-transcript-corpus.csv";"807";"TALIESIN";"How do you do that?";"0"
"144";"cr1-115-transcript-corpus.csv";"37";"LIAM";"It was great!";"0"
"145";"cr1-74-transcript-corpus.csv";"1403";"LAURA";"They can transfer back when they want to.";"1"
"146";"cr1-26-transcript-corpus.csv";"175";"TRAVIS";"Do I feel a little tingle from my belt?";"1"
"147";"cr1-74-transcript-corpus.csv";"3549";"LIAM";"If this goes south, we can just wrap it up.";"1"
"148";"cr1-61-transcript-corpus.csv";"56";"SAM";"So go check it out, keep that song in the back of your mind when you do.";"0"
"149";"cr1-95-transcript-corpus.csv";"4420";"TALIESIN";"The offer does stand, though.";"1"
"150";"cr1-33.01-transcript-corpus.csv";"638";"LAURA";"Giving him a loaded gun?";"1"
"151";"cr1-6-transcript-corpus.csv";"3671";"LIAM";"Get.";"0"
"152";"cr1-73-transcript-corpus.csv";"1621";"MARISHA";"Deal.";"1"
"153";"cr1-93.01-transcript-corpus.csv";"400";"LIAM";"Miles of candy.";"1"
"154";"cr1-5-transcript-corpus.csv";"1444";"ORION";"Recess the wall, recess the wall!";"1"
"155";"cr1-54.01-transcript-corpus.csv";"2138";"MARISHA";"This is a lava pool right here?";"1"
"156";"cr1-115.10-transcript-corpus.csv";"4031";"TRAVIS";"Oh, Pike.";"1"
